F356 01.03.23 LUX 07:30 PRG 09:30 175 31
F332 03.03.23 PRG 11:10 LUX 13:40 180 46
F355 03.03.23 PRG 12:20 LUX 14:50 170 54
F363 11.12.23 BUC 11:00 BRX 12:40 180 67
F364 11.12.23 BUC 14:15 BRX 17:30 150 208
F496 20.12.23 BRX 05:20 BUC 08:40 170 233 
F510 20.12.23 BRX 09:50 BUC 13:40 160 238
F344 20.12.23 BRX 16:10 BUC 19:30 190 253 
F504 03.04.23 BUC 12:15 LND 15.45 100 274
F505 03.04.23 BUC 17:15 LND 20.45 135 286
F660 10.04.23 LND 06:10 BUC 09:40 95 296
F512 10.04.23 LND 08:10 BUC 11:40 135 208
F600 11.04.23 LND 15:10 BUC 18:40 120 312
F601 11.04.23 LND 16:20 BUC 19:30 110 333
F603 11.04.23 LND 17:30 BUC 20:40 160 353
